marca,clase,servicio,cantidad
QMC,Automóvil,PARTICULAR,12
VOLVO,Camioneta,PARTICULAR,11
DONGFENG,Otra Clase,PARTICULAR,11
KENWORTH,Tanquero,PARTICULAR,11
CHEVROLET,Autobus,MUNNICIPIO,11
ISUZU,Camión,ESTADO,11
HINO,Tanquero,ESTADO,11
KIA,Trailer,PARTICULAR,11
KIA,Furgoneta C,MUNNICIPIO,11
ZX AUTO,Jeep,PARTICULAR,11
TOYOTA,Otra Clase,ESTADO,11
CHEVROLET,Tanquero,MUNNICIPIO,11
MITSUBISHI,Tanquero,ALQUILER,11
DAEWOO,Jeep,PARTICULAR,11
HYUNDAI,Tanquero,ALQUILER,10
HYUNDAI,Jeep,ESTADO,10
MITSUBISHI,Camioneta,MUNNICIPIO,10
SCANIA,Camión,ALQUILER,10
BYD,Furgoneta P,PARTICULAR,10
SUZUKI,Camioneta,PARTICULAR,10
SKODA,Furgoneta P,ALQUILER,10
JAC,Autobus,ALQUILER,10
DODGE,Tanquero,PARTICULAR,10
DAIHATSU,Autobus,PARTICULAR,10
INTERNATIONAL,Camión,MUNNICIPIO,10
SCANIA,Camión,ESTADO,10
FORD,Otra Clase,MUNNICIPIO,10
MAN,Tanquero,PARTICULAR,10
GMC,Otra Clase,PARTICULAR,10
INTERNATIONAL,Autobus,PARTICULAR,10
INTERNATIONAL,Furgoneta C,PARTICULAR,10
RENAULT,Trailer,PARTICULAR,10
INTERNATIONAL,Volqueta,OTROS,10
CHEVROLET,Jeep,OTROS,10
FORD,Tanquero,ESTADO,9
ISUZU,Tanquero,ALQUILER,9
KENWORTH,Camión,ALQUILER,9
GREAT WALL,Jeep,PARTICULAR,9
AUSTIN,Furgoneta P,PARTICULAR,9
FREIGHTLINER,Tanquero,ALQUILER,9
CHRYSLER,Jeep,PARTICULAR,9
CHEVROLET,Otra Clase,ALQUILER,9
VOLKSWAGEN,Camión,ALQUILER,9
DATSUN,Furgoneta C,PARTICULAR,8
FORMOSA,Motocicleta,PARTICULAR,8
MERCEDES BENZ,Camioneta,PARTICULAR,8
HINO,Tanquero,MUNNICIPIO,8
QMC,Otra Clase,PARTICULAR,8
KIA,Volqueta,PARTICULAR,8
VOLKSWAGEN,Volqueta,MUNNICIPIO,8
ISUZU,Tanquero,ESTADO,8
